Timestamp,Freq,Drive_Amp,Channel,X,Y,Z
144.499967,40,0.018,4,0.001,0.768,0.005
144.500464,40,0.018,0,0.005,0.011,0.69
144.500501,40,0.018,2,0.012,0.018,0.695
144.500548,40,0.018,4,0.0,0.621,0.004
144.501044,40,0.018,0,-0.026,-0.005,0.547
144.501081,40,0.018,2,-0.008,0.039,0.56
144.501128,40,0.018,4,0.005,0.49,0.002
144.501625,40,0.018,0,-0.011,-0.014,0.417
144.501661,40,0.018,2,0.01,0.041,0.434
144.501709,40,0.018,4,0.014,0.365,0.005
144.502205,40,0.018,0,-0.03,-0.002,0.309
144.502242,40,0.018,2,-0.019,0.042,0.307
144.502289,40,0.018,4,0.01,0.254,0.001
144.502785,40,0.018,0,-0.037,-0.016,0.194
144.502822,40,0.018,2,-0.023,0.05,0.217
144.50287,40,0.018,4,0.012,0.153,-0.003
144.503365,40,0.018,0,-0.051,-0.009,0.115
144.503402,40,0.018,2,-0.014,0.046,0.123
144.50345,40,0.018,4,0.014,0.075,-0.004
144.503945,40,0.018,0,-0.037,-0.0,0.059
144.503982,40,0.018,2,-0.025,0.038,0.048
144.504031,40,0.018,4,0.018,0.012,0.004
144.504525,40,0.018,0,-0.051,0.005,-0.003
144.504562,40,0.018,2,-0.072,0.033,0.012
144.504612,40,0.018,4,0.014,-0.029,0.001
144.505105,40,0.018,0,-0.015,0.021,-0.031
144.505142,40,0.018,2,-0.036,0.018,-0.012
144.505192,40,0.018,4,0.013,-0.05,0.004
144.505685,40,0.018,0,-0.024,0.019,-0.024
144.505722,40,0.018,2,-0.05,0.012,-0.026
144.505772,40,0.018,4,0.016,-0.049,0.0
144.506265,40,0.018,0,-0.029,0.008,-0.026
144.506302,40,0.018,2,-0.043,0.035,0.002
144.506353,40,0.018,4,0.011,-0.024,0.003
144.506846,40,0.018,0,-0.024,0.002,0.024
144.506882,40,0.018,2,-0.037,0.029,0.027
144.506934,40,0.018,4,0.01,0.018,-0.004
144.507426,40,0.018,0,-0.003,-0.013,0.086
144.507462,40,0.018,2,-0.019,0.041,0.079
144.507514,40,0.018,4,0.016,0.084,-0.001
144.508006,40,0.018,0,-0.024,-0.01,0.138
144.508043,40,0.018,2,-0.007,0.049,0.173
144.508095,40,0.018,4,0.012,0.164,0.0
144.508585,40,0.018,2,0.013,0.019,0.252
144.508622,40,0.018,0,-0.012,0.008,0.252
144.508675,40,0.018,4,0.005,0.265,-0.005
144.509163,40,0.018,2,0.027,0.011,0.364
144.509199,40,0.018,0,-0.003,0.019,0.358
144.509256,40,0.018,4,0.005,0.376,0.001
144.509741,40,0.018,2,0.039,0.002,0.508
144.509777,40,0.018,0,-0.016,0.029,0.466
144.509836,40,0.018,4,0.0,0.507,0.008
144.510318,40,0.018,2,0.052,-0.018,0.62
144.510354,40,0.018,0,-0.012,0.045,0.621
144.510417,40,0.018,4,-0.003,0.649,-0.002
144.510896,40,0.018,2,0.045,-0.0,0.77
144.510932,40,0.018,0,-0.002,0.028,0.762
144.510997,40,0.018,4,-0.004,0.793,-0.002
144.511473,40,0.018,2,0.036,0.003,0.925
144.511509,40,0.018,0,-0.01,0.017,0.907
144.511578,40,0.018,4,-0.009,0.944,0.003
144.51205,40,0.018,2,0.032,0.023,1.072
144.512087,40,0.018,0,-0.015,-0.002,1.072
144.512158,40,0.018,4,-0.014,1.096,0.001
144.512628,40,0.018,2,0.041,0.056,1.226
144.512664,40,0.018,0,0.001,-0.034,1.212
